username,specialty,question_id,is_none_still_best
Philip Chung,Anesthesiology,1,yes
Philip Chung,Anesthesiology,2,no
Philip Chung,Anesthesiology,3,yes
Philip Chung,Anesthesiology,3,yes
Philip Chung,Anesthesiology,4,yes
Philip Chung,Anesthesiology,5,no
Philip Chung,Anesthesiology,6,yes
Philip Chung,Anesthesiology,7,yes
Philip Chung,Anesthesiology,8,yes
Philip Chung,Anesthesiology,9,yes
Philip Chung,Anesthesiology,10,yes
Philip Chung,Anesthesiology,11,yes
Philip Chung,Anesthesiology,12,yes
Philip Chung,Anesthesiology,13,yes
Philip Chung,Anesthesiology,14,yes
Philip Chung,Anesthesiology,15,yes
Philip Chung,Anesthesiology,16,yes
Philip Chung,Anesthesiology,16,yes
Philip Chung,Anesthesiology,17,no
Philip Chung,Anesthesiology,18,yes
Philip Chung,Anesthesiology,19,no
Philip Chung,Anesthesiology,20,no
Philip Chung,Anesthesiology,21,yes
Philip Chung,Anesthesiology,22,no
Philip Chung,Anesthesiology,23,yes
Philip Chung,Anesthesiology,24,no
Philip Chung,Anesthesiology,25,yes
Philip Chung,Anesthesiology,26,yes
Philip Chung,Anesthesiology,27,yes
Philip Chung,Anesthesiology,28,yes
Philip Chung,Anesthesiology,29,yes
Philip Chung,Anesthesiology,30,yes
Philip Chung,Anesthesiology,31,yes
Philip Chung,Anesthesiology,32,no
Philip Chung,Anesthesiology,33,no
Philip Chung,Anesthesiology,34,no
Philip Chung,Anesthesiology,35,no
Philip Chung,Anesthesiology,36,no
Philip Chung,Anesthesiology,36,yes
Philip Chung,Anesthesiology,37,yes
Philip Chung,Anesthesiology,38,no
Philip Chung,Anesthesiology,39,yes
Philip Chung,Anesthesiology,40,no
Philip Chung,Anesthesiology,41,no
Philip Chung,Anesthesiology,41,no
Philip Chung,Anesthesiology,42,yes
Philip Chung,Anesthesiology,43,yes
Philip Chung,Anesthesiology,44,no
Philip Chung,Anesthesiology,45,no
Philip Chung,Anesthesiology,46,no
Philip Chung,Anesthesiology,47,yes
Philip Chung,Anesthesiology,48,no
Philip Chung,Anesthesiology,49,yes
Philip Chung,Anesthesiology,50,yes
Philip Chung,Anesthesiology,51,no
Philip Chung,Anesthesiology,52,yes
Philip Chung,Anesthesiology,53,no
Philip Chung,Anesthesiology,54,yes
Philip Chung,Anesthesiology,55,yes
Philip Chung,Anesthesiology,56,yes
Philip Chung,Anesthesiology,57,no
Philip Chung,Anesthesiology,58,no
Philip Chung,Anesthesiology,59,yes
Philip Chung,Anesthesiology,60,no
Philip Chung,Anesthesiology,61,yes
Philip Chung,Anesthesiology,62,yes
Philip Chung,Anesthesiology,63,yes
Philip Chung,Anesthesiology,64,yes
Philip Chung,Anesthesiology,65,yes
Philip Chung,Anesthesiology,65,yes
Philip Chung,Anesthesiology,65,yes
Philip Chung,Anesthesiology,66,yes
Philip Chung,Anesthesiology,67,yes
Philip Chung,Anesthesiology,68,yes
Philip Chung,Anesthesiology,69,yes
Philip Chung,Anesthesiology,70,no
Philip Chung,Anesthesiology,71,yes
Philip Chung,Anesthesiology,72,no
Philip Chung,Anesthesiology,73,no
Philip Chung,Anesthesiology,74,yes
Philip Chung,Anesthesiology,75,no
Philip Chung,Anesthesiology,76,yes
Philip Chung,Anesthesiology,77,yes
Philip Chung,Anesthesiology,78,yes
Philip Chung,Anesthesiology,79,yes
Philip Chung,Anesthesiology,80,yes
Philip Chung,Anesthesiology,81,yes
Philip Chung,Anesthesiology,82,yes
Philip Chung,Anesthesiology,83,yes
Philip Chung,Anesthesiology,84,yes
Philip Chung,Anesthesiology,85,yes
Philip Chung,Anesthesiology,86,yes
Philip Chung,Anesthesiology,87,yes
Philip Chung,Anesthesiology,88,yes
Philip Chung,Anesthesiology,89,no
Philip Chung,Anesthesiology,90,yes
Philip Chung,Anesthesiology,91,yes
Philip Chung,Anesthesiology,92,no
Philip Chung,Anesthesiology,93,no
Philip Chung,Anesthesiology,94,yes
Philip Chung,Anesthesiology,95,yes
Philip Chung,Anesthesiology,96,yes
Philip Chung,Anesthesiology,97,yes
Philip Chung,Anesthesiology,98,yes
Philip Chung,Anesthesiology,99,yes
Philip Chung,Anesthesiology,100,yes
